"path","retention_class","owner","role","size_mb","file_count","auto_delete_allowed","default_action","archive_after_days","purge_after_days","proof_or_blocker","notes"
"out/tmp","temp_debug","Reviewer/Custodian","candidate only after manifest and active-owner check","0.001","12","conditional","dry-run purge candidate","","","classified","candidate only after manifest and active-owner check"
"out/tmp_f061_pre_review_gate_proof","temp_debug","Reviewer/Custodian","candidate only after manifest and active-owner check","0.009","10","conditional","dry-run purge candidate","","","classified","candidate only after manifest and active-owner check"
"out/tmp_f061_seller_evidence_plusplus_proof","temp_debug","Reviewer/Custodian","candidate only after manifest and active-owner check","0.208","10","conditional","dry-run purge candidate","","","classified","candidate only after manifest and active-owner check"
"out/tmp_f061_seller_evidence_proof","temp_debug","Reviewer/Custodian","candidate only after manifest and active-owner check","0.009","10","conditional","dry-run purge candidate","","","classified","candidate only after manifest and active-owner check"
"out/tmp_phase_engine_backcompat","temp_debug","Reviewer/Custodian","candidate only after manifest and active-owner check","0.001","2","conditional","dry-run purge candidate","","","classified","candidate only after manifest and active-owner check"
"out/tmp_phase_engine_backcompat2","temp_debug","Reviewer/Custodian","candidate only after manifest and active-owner check","0","2","conditional","dry-run purge candidate","","","classified","candidate only after manifest and active-owner check"
"out/tmp_phase_engine_dry","temp_debug","Reviewer/Custodian","candidate only after manifest and active-owner check","0.054","43","conditional","dry-run purge candidate","","","classified","candidate only after manifest and active-owner check"
"out/tmp_phase_engine_fasttrack_test","temp_debug","Reviewer/Custodian","candidate only after manifest and active-owner check","0.003","5","conditional","dry-run purge candidate","","","classified","candidate only after manifest and active-owner check"
"out/tmp_phase_engine_fasttrack_test2","temp_debug","Reviewer/Custodian","candidate only after manifest and active-owner check","0.002","5","conditional","dry-run purge candidate","","","classified","candidate only after manifest and active-owner check"
"out/tmp_phase_engine_grace_test","temp_debug","Reviewer/Custodian","candidate only after manifest and active-owner check","0.003","5","conditional","dry-run purge candidate","","","classified","candidate only after manifest and active-owner check"
"out/tmp_phase_engine_inventory_accel_test","temp_debug","Reviewer/Custodian","candidate only after manifest and active-owner check","0.002","5","conditional","dry-run purge candidate","","","classified","candidate only after manifest and active-owner check"
"out/tmp_phase_engine_low_velocity_test","temp_debug","Reviewer/Custodian","candidate only after manifest and active-owner check","0.001","2","conditional","dry-run purge candidate","","","classified","candidate only after manifest and active-owner check"
"out/tmp_phase_engine_recovery_streak_test","temp_debug","Reviewer/Custodian","candidate only after manifest and active-owner check","0.002","5","conditional","dry-run purge candidate","","","classified","candidate only after manifest and active-owner check"
"out/tmp_phase_engine_scenario_c_rerun","temp_debug","Reviewer/Custodian","candidate only after manifest and active-owner check","0.002","5","conditional","dry-run purge candidate","","","classified","candidate only after manifest and active-owner check"
"out/tmp_phase_engine_scenarios","temp_debug","Reviewer/Custodian","candidate only after manifest and active-owner check","0.001","5","conditional","dry-run purge candidate","","","classified","candidate only after manifest and active-owner check"
"out/waiting_room","audit_history","Operations/Custodian","proof or operational history, not bulk delete","1.182","96","no","archive by manifest","","","classified","proof or operational history, not bulk delete"
