source_type,item_id,name,status,kind,target,sellerone_scope,recommendation,luke_decision_required,reason
windows_scheduler,AMZ Morning MOT Post Restart,AMZ Morning MOT Post Restart,Disabled,scheduled_task,"cmd.exe /d /c call ""C:\Users\Luke\Desktop\SellerOne 2.0\run_morning_mot_system.bat"" --phase post_restart --repair --proof-wait-seconds 30",sellerone,leave_disabled_or_inactive,no,Scheduler is not currently ready/running.
windows_scheduler,AMZ Orders,AMZ Orders,Disabled,scheduled_task,"cmd.exe /c ""C:\Users\Luke\Desktop\SellerOne 2.0\run_B_cycle.bat""",sellerone,leave_disabled_or_inactive,no,Scheduler is not currently ready/running.
windows_scheduler,AMZ Price List Manager,AMZ Price List Manager,Disabled,scheduled_task,"cmd.exe /c ""C:\Users\Luke\Desktop\SellerOne 2.0\run_F_price_list_manager_cycle.bat""",sellerone,leave_disabled_or_inactive,no,Scheduler is not currently ready/running.
windows_scheduler,AMZ Pricing Summary,AMZ Pricing Summary,Disabled,scheduled_task,"cmd.exe /c ""C:\Users\Luke\Desktop\SellerOne 2.0\run_A_all.bat""",sellerone,leave_disabled_or_inactive,no,Scheduler is not currently ready/running.
windows_scheduler,AMZ Pricing Summary Hourly,AMZ Pricing Summary Hourly,Disabled,scheduled_task,cmd.exe /c C:\Users\Luke\Desktop\SELLER~1.0\run_A_all.bat,sellerone,leave_disabled_or_inactive,no,Scheduler is not currently ready/running.
windows_scheduler,AMZ Restart Postcheck,AMZ Restart Postcheck,Disabled,scheduled_task,cmd.exe /c C:\Users\Luke\Desktop\SELLER~1.0\run_controlled_restart_postcheck.bat,sellerone,leave_disabled_or_inactive,no,Scheduler is not currently ready/running.
windows_scheduler,Codex_H_Phase1_OneShot,Codex_H_Phase1_OneShot,Disabled,scheduled_task,C:\Temp\codex_h_phase1_run.cmd,sellerone,leave_disabled_or_inactive,no,Scheduler is not currently ready/running.
windows_scheduler,SellerOne Manager Hourly MOT,SellerOne Manager Hourly MOT,Disabled,scheduled_task,C:\Users\Luke\Desktop\SellerOne 2.0\run_manager_hourly_mot.bat,sellerone,leave_disabled_or_inactive,no,Scheduler is not currently ready/running.
repo_scheduler_entrypoint,sellerone_manager/install_manager_hourly_mot_task.ps1,install_manager_hourly_mot_task.ps1,file_present,ps1,sellerone_manager/install_manager_hourly_mot_task.ps1,sellerone,do_not_run_without_approved_task,no,Repo entrypoint exists but was not run or changed during this review.
repo_scheduler_entrypoint,scripts/tools/install_h_maintenance_controller.ps1,install_h_maintenance_controller.ps1,file_present,ps1,scripts/tools/install_h_maintenance_controller.ps1,sellerone,do_not_run_without_approved_task,no,Repo entrypoint exists but was not run or changed during this review.
repo_scheduler_entrypoint,run_manager_hourly_mot.bat,run_manager_hourly_mot.bat,file_present,bat,run_manager_hourly_mot.bat,sellerone,do_not_run_without_approved_task,no,Repo entrypoint exists but was not run or changed during this review.
repo_scheduler_entrypoint,run_morning_mot_system.bat,run_morning_mot_system.bat,file_present,bat,run_morning_mot_system.bat,sellerone,do_not_run_without_approved_task,no,Repo entrypoint exists but was not run or changed during this review.
repo_scheduler_entrypoint,run_F_price_list_manager_cycle.bat,run_F_price_list_manager_cycle.bat,file_present,bat,run_F_price_list_manager_cycle.bat,sellerone,do_not_run_without_approved_task,no,Repo entrypoint exists but was not run or changed during this review.
repo_scheduler_entrypoint,run_H_maintenance_controller_install.bat,run_H_maintenance_controller_install.bat,file_present,bat,run_H_maintenance_controller_install.bat,sellerone,do_not_run_without_approved_task,no,Repo entrypoint exists but was not run or changed during this review.
