queue_utc,seller_sku,asin,supplier_code,supplier_name,supplier_sku,barcode,price_list_unit_cost_gbp,purchase_reference_list_cost_gbp,actual_paid_unit_cost_gbp,actual_vs_list_ratio,discount_assumption_pct,expected_next_unit_cost_gbp,confirmation_status,review_reason,user_prompt,source_lineage,title,price_list_source_batch_id,price_list_source_received_at_utc,expected_cost_source,cost_confidence
2026-05-19T12:28:57Z,09-CZ59-Q6OR,,,DHB,,,,,,,,,needs_user_price_check,missing_all_cost_inputs,Add supplier cost evidence for 09-CZ59-Q6OR: no usable list or purchase cost is available.,product_db_preview,Stoddard Icon White Standard Interdental Brushes - 8 Brush Plus 2 Free Brush in 1 Pack,,,missing_cost,none
2026-05-19T12:28:57Z,B2-5FFM-153A,,,ABGee,,,,,,,,,needs_user_price_check,missing_all_cost_inputs,Add supplier cost evidence for B2-5FFM-153A: no usable list or purchase cost is available.,product_db_preview,Ravensburger Disney Princess 100 Piece Jigsaw Puzzles for Kids Age 6 Years Up,,,missing_cost,none
2026-05-19T12:28:57Z,XI-DUS3-PXC9,,413674,ABGee,,,,,,,,,needs_user_price_check,missing_all_cost_inputs,Add supplier cost evidence for XI-DUS3-PXC9: no usable list or purchase cost is available.,product_db_preview,"Super Mario - 2,5 Deluxe Toad House Playset (413674)",,,missing_cost,none
2026-05-19T12:28:57Z,0T-LQK2-KFCY,,,ABGee,,,,,,,,,needs_user_price_check,missing_all_cost_inputs,Add supplier cost evidence for 0T-LQK2-KFCY: no usable list or purchase cost is available.,product_db_preview,"Mattel WWE Ultimate Edition Asuka Action Figure & Accessories, 6-inch Collectible Set, Swappable Heads & Hands, Entrance Gear & 30 Articulation Points, HWP53",,,missing_cost,none
2026-05-19T12:28:57Z,OL-F41R-EZEF,,,ABGee,,,,,,,,,needs_user_price_check,missing_all_cost_inputs,Add supplier cost evidence for OL-F41R-EZEF: no usable list or purchase cost is available.,product_db_preview,BRIO World Collapsing Bridge for Kids Age 3 Years Up - Compatible With All BRIO Railway Train Sets and Accessories,,,missing_cost,none
2026-05-19T12:28:57Z,NC-MA70-7OJ9,,,ABGee,,,,,,,,,needs_user_price_check,missing_all_cost_inputs,Add supplier cost evidence for NC-MA70-7OJ9: no usable list or purchase cost is available.,product_db_preview,Learning Resources Playfoam Sparkle (Set of 4) EI-1910,,,missing_cost,none
2026-05-19T12:28:57Z,T7-NZWY-R44R,,,ABGee,,,,,,,,,needs_user_price_check,missing_all_cost_inputs,Add supplier cost evidence for T7-NZWY-R44R: no usable list or purchase cost is available.,product_db_preview,"The Original Plasticine, FunTUBulous, Original Modelling Clay, Soft and Non-Hardening, Includes 8 Bumper Sticks of Plasticine in Plastic Bucket with Carry Handle, Suitable for Ages 3+",,,missing_cost,none
2026-05-19T12:28:57Z,I2-OJSR-TKZ6,,,ABGee,,,,,,,,,needs_user_price_check,missing_all_cost_inputs,Add supplier cost evidence for I2-OJSR-TKZ6: no usable list or purchase cost is available.,product_db_preview,BRIO World Wooden Tunnel Train for Kids Age 3 Years Up - Compatible with all BRIO Railway Sets & Accessories,,,missing_cost,none
2026-05-19T12:28:57Z,9C-ZLCN-WWGK,,985 5862,ABGee,,,,,7.59,,,7.59,needs_user_price_check,missing_current_price_list_cost|actual_paid_without_list_reference,Check supplier price for 9C-ZLCN-WWGK: no current collected price-list cost is available.,product_db_preview,Funko POP! Movies: Harry Potter - Severus Snape - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - Movies Fans - Model Figure for Collectors and Display,,,last_purchase_price,actual_paid_without_list_reference
2026-05-19T12:28:57Z,6L-LO0H-2WGF,,198 3202,ABGee,,,,,3.33,,,3.33,needs_user_price_check,missing_current_price_list_cost|actual_paid_without_list_reference,Check supplier price for 6L-LO0H-2WGF: no current collected price-list cost is available.,product_db_preview,"Make It Real Blooming Vibes Sketchbook - Princess Fashion Design Drawing and Craft Book - Fashion Designer Kits for Girls with Templates, Stencils, Stickers - Kids Arts and Crafts Sets, Creative Gifts",,,last_purchase_price,actual_paid_without_list_reference
2026-05-19T12:28:57Z,7C-XI7G-FMUU,,985 36391,ABGee,,,,,7.59,,,7.59,needs_user_price_check,missing_current_price_list_cost|actual_paid_without_list_reference,Check supplier price for 7C-XI7G-FMUU: no current collected price-list cost is available.,product_db_preview,Funko POP! Vinyl: Disney: the Lion King: Mufasa - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - Movies Fans - Model Figure for Collectors and Display,,,last_purchase_price,actual_paid_without_list_reference
2026-05-19T12:28:57Z,W7-F06R-CW3C,,,ABGee,,,,,,,,,needs_user_price_check,missing_all_cost_inputs,Add supplier cost evidence for W7-F06R-CW3C: no usable list or purchase cost is available.,product_db_preview,Giga Pets AR Virtual Animal Pet Toy (Unicorn),,,missing_cost,none
2026-05-19T12:28:57Z,D6-Y4EX-C9HL,,,ABGee,,,,,,,,,needs_user_price_check,missing_all_cost_inputs,Add supplier cost evidence for D6-Y4EX-C9HL: no usable list or purchase cost is available.,product_db_preview,Ravensburger Hey Duggee Mini Memory Game - Matching Picture Snap Pairs Game for Kids Age 3 Years Up,,,missing_cost,none
2026-05-19T12:28:57Z,NB-UWOU-68PW,,,ABGee,,,,,,,,,needs_user_price_check,missing_all_cost_inputs,Add supplier cost evidence for NB-UWOU-68PW: no usable list or purchase cost is available.,product_db_preview,Funko Mystery Mini: Marvel Deadpool 30th - 1 Of 12 to Collect - Styles Vary - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - Comic Books Fans and Display,,,missing_cost,none
2026-05-19T12:28:57Z,QG-6O1N-7HTR,,,ABGee,,,,,,,,,needs_user_price_check,missing_all_cost_inputs,Add supplier cost evidence for QG-6O1N-7HTR: no usable list or purchase cost is available.,product_db_preview,Pokemon Piplup 8 inch Plush,,,missing_cost,none
2026-05-19T12:28:57Z,E7-LAKI-9FEO,,,ABGee,,,,,,,,,needs_user_price_check,missing_all_cost_inputs,Add supplier cost evidence for E7-LAKI-9FEO: no usable list or purchase cost is available.,product_db_preview,"Ravensburger Disney Princess - Jigsaw Puzzles for Kids Age 3 Years Up, Multicolored, 4 in Box (12, 16, 20, 24 Piece)",,,missing_cost,none
2026-05-19T12:28:57Z,FQ-DRSZ-XVJI,,,ABGee,,,,,,,,,needs_user_price_check,missing_all_cost_inputs,Add supplier cost evidence for FQ-DRSZ-XVJI: no usable list or purchase cost is available.,product_db_preview,"Purse Pets, Glamicorn Unicorn Interactive Purse Pet with Over 25 Sounds and Reactions, Kids Toys for Girls Ages 5 and up",,,missing_cost,none
2026-05-19T12:28:57Z,WY-Z6LP-JOMV,,542 12001074,ABGee,,,,,,,,,needs_user_price_check,missing_all_cost_inputs,Add supplier cost evidence for WY-Z6LP-JOMV: no usable list or purchase cost is available.,product_db_preview,Ravensburger Super Mario 100 Piece XXL Jigsaw Puzzles for Kids Age 6 Years Up - Extra Large Pieces,,,missing_cost,none
2026-05-19T12:28:57Z,IX-E0R5-6P6G,,,ABGee,,,,,,,,,needs_user_price_check,missing_all_cost_inputs,Add supplier cost evidence for IX-E0R5-6P6G: no usable list or purchase cost is available.,product_db_preview,Ravensburger Super Mario 3x 49 Piece Jigsaw Puzzles for Kids Age 5 Years Up,,,missing_cost,none
2026-05-19T12:28:57Z,J7-QL4P-4SOM,,,ABGee,,,,,,,,,needs_user_price_check,missing_all_cost_inputs,Add supplier cost evidence for J7-QL4P-4SOM: no usable list or purchase cost is available.,product_db_preview,ThinkFun Cold Case Files A Pinch of Murder - Murder Mystery Game for Adults and Kids Age 14 Years Up - 1 to 4 Players,,,missing_cost,none
2026-05-19T12:28:57Z,UF-8XYI-JUTX,,,ABGee,,,,,,,,,needs_user_price_check,missing_all_cost_inputs,Add supplier cost evidence for UF-8XYI-JUTX: no usable list or purchase cost is available.,product_db_preview,ThinkFun Cold Case Files A Pinch of Murder - Murder Mystery Game for Adults and Kids Age 14 Years Up - 1 to 4 Players,,,missing_cost,none
2026-05-19T12:28:57Z,LG-AZOP-KOUU,,,ABGee,,,,,,,,,needs_user_price_check,missing_all_cost_inputs,Add supplier cost evidence for LG-AZOP-KOUU: no usable list or purchase cost is available.,product_db_preview,ThinkFun Cold Case Files A Pinch of Murder - Murder Mystery Game for Adults and Kids Age 14 Years Up - 1 to 4 Players,,,missing_cost,none
2026-05-19T12:28:57Z,0K-6BX5-D5AH,,856 PSTSP414IN0,ABGee,,,,,7.51,,,7.51,needs_user_price_check,missing_current_price_list_cost|actual_paid_without_list_reference,Check supplier price for 0K-6BX5-D5AH: no current collected price-list cost is available.,product_db_preview,"SUPERTHINGS Balloon Boxer – Large vehicle plus two attachable vehicles, 3 SuperThings and 1 exclusive Kazoom Kid",,,last_purchase_price,actual_paid_without_list_reference
2026-05-19T12:28:57Z,Z3-HICR-CPBW,,985 59686,ABGee,,,,,7.76,,,7.76,needs_user_price_check,missing_current_price_list_cost|actual_paid_without_list_reference,Check supplier price for Z3-HICR-CPBW: no current collected price-list cost is available.,product_db_preview,Funko Action Figure: Five Nights At Freddy's (FNAF) - Toxic Springtrap - Glow In the Dark - Collectable Toy - Gift Idea - Official Merchandise,,,last_purchase_price,actual_paid_without_list_reference
2026-05-19T12:28:57Z,OO-KLJU-ZBO9,,985 62221,ABGee,,,,,7.59,,,7.59,needs_user_price_check,missing_current_price_list_cost|actual_paid_without_list_reference,Check supplier price for OO-KLJU-ZBO9: no current collected price-list cost is available.,product_db_preview,Funko POP! Vinyl: Formula One - Valtteri Bottas - Mercedes-Benz - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - Sports Fans - Model Figure for Collectors,,,last_purchase_price,actual_paid_without_list_reference
2026-05-19T12:28:57Z,UL-6G4Z-72JE,,198 3209,ABGee,,,,,3.33,,,3.33,needs_user_price_check,missing_current_price_list_cost|actual_paid_without_list_reference,Check supplier price for UL-6G4Z-72JE: no current collected price-list cost is available.,product_db_preview,Make It Real Love and Daisy Inspired Fashion Design Sketchbook with Stencils and Stickers for Creativity - Kids Arts and Crafts Colouring Book - Girls Gifts,,,last_purchase_price,actual_paid_without_list_reference
2026-05-19T12:28:57Z,2K-6X85-CXUL,,,ABGee,,,,,,,,,needs_user_price_check,missing_all_cost_inputs,Add supplier cost evidence for 2K-6X85-CXUL: no usable list or purchase cost is available.,product_db_preview,Ravensburger Happy Days Royal Residences 4x 500 Piece Jigsaw Puzzle for Adults and Kids Age 10 Years Up,,,missing_cost,none
2026-05-19T12:28:57Z,MF-MNIN-FGXW,,,ABGee,,,,,,,,,needs_user_price_check,missing_all_cost_inputs,Add supplier cost evidence for MF-MNIN-FGXW: no usable list or purchase cost is available.,product_db_preview,Squishville Squad 4 pack - Puppy Love Squad,,,missing_cost,none
2026-05-19T12:28:57Z,FQ-MTRD-YPII,,,ABGee,,,,,,,,,needs_user_price_check,missing_all_cost_inputs,Add supplier cost evidence for FQ-MTRD-YPII: no usable list or purchase cost is available.,product_db_preview,"Learning Resources Carlos the Pop & Count Cactus, Top Toddler Toys, Preschool, Fine Motor Skills, Educational Toys, 16 Pieces, Age 18 Months",,,missing_cost,none
2026-05-19T12:28:57Z,8N-T5OY-DSW9,,,ABGee,,,,,,,,,needs_user_price_check,missing_all_cost_inputs,Add supplier cost evidence for 8N-T5OY-DSW9: no usable list or purchase cost is available.,product_db_preview,Funko POP! Animation: Demon Slayer - Mitsuri Kanroji - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - Anime Fans - Model Figure for Collectors and Display,,,missing_cost,none
2026-05-19T12:28:57Z,JE-NHAA-HEYR,,,ABGee,,,,,,,,,needs_user_price_check,missing_all_cost_inputs,Add supplier cost evidence for JE-NHAA-HEYR: no usable list or purchase cost is available.,product_db_preview,Ravensburger Disney Encanto The Magic Awaits 3x 49 Pieces Jigsaw Puzzle for Kids Age 5 Years Up,,,missing_cost,none
2026-05-19T12:28:57Z,6V-0L0T-OF72,,930 1108,ABGee,,,,,10,,,10,needs_user_price_check,missing_current_price_list_cost|actual_paid_without_list_reference,Check supplier price for 6V-0L0T-OF72: no current collected price-list cost is available.,product_db_preview,Top Secret Toys Giga Pets Animal Toy (1108),,,last_purchase_price,actual_paid_without_list_reference
2026-05-19T12:28:57Z,IQ-PR7Z-1RKG,,888 PKW0167,ABGee,,,,,7,,,7,needs_user_price_check,missing_current_price_list_cost|actual_paid_without_list_reference,Check supplier price for IQ-PR7Z-1RKG: no current collected price-list cost is available.,product_db_preview,Pokémon SCYTHER BATTLE FEATURE FIGURE - 4.5-Inch Scyther Battle Figure with Chop Attack Arms,,,last_purchase_price,actual_paid_without_list_reference
2026-05-19T12:28:57Z,A9-31T9-JF3W,,,ABGee,,,,,,,,,needs_user_price_check,missing_all_cost_inputs,Add supplier cost evidence for A9-31T9-JF3W: no usable list or purchase cost is available.,product_db_preview,"Squishville by Original Squishmallows Pep Squad Plush - Four 2-Inch Squishmallows Plush Including Prim, Harley, Mellie, and Zaylee - Toys for Kids",,,missing_cost,none
2026-05-19T12:28:57Z,TT-1DQK-CJFF,,,ABGee,,,,,,,,,needs_user_price_check,missing_all_cost_inputs,Add supplier cost evidence for TT-1DQK-CJFF: no usable list or purchase cost is available.,product_db_preview,"Squishville by Original Squishmallows Cow Squad Plush - Four 2-Inch Squishmallows Plush Including Reshma, Candess, Calton, and 1 Surprise - Toys for Kids",,,missing_cost,none
2026-05-19T12:28:57Z,EO-RQ6J-PAPY,,,ABGee,,,,,7.59,,,7.59,needs_user_price_check,missing_current_price_list_cost|actual_paid_without_list_reference,Check supplier price for EO-RQ6J-PAPY: no current collected price-list cost is available.,product_db_preview,Funko POP! Disney: Robin Hood - Maid Marian - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - Movies Fans - Model Figure for Collectors and Display,,,last_purchase_price,actual_paid_without_list_reference
2026-05-19T12:28:57Z,F9-ETRB-6FVQ,,,ABGee,,,,,,,,,needs_user_price_check,missing_all_cost_inputs,Add supplier cost evidence for F9-ETRB-6FVQ: no usable list or purchase cost is available.,product_db_preview,DOCTOR WHO 14th Doctor sonic screwdriver,,,missing_cost,none
2026-05-19T12:28:57Z,10-PGVO-YV15,,OSP54,CLF,OSP54,4744183012622,2.34,2.34,2.25,0.961538,3.8462,2.25,needs_user_price_check,discount_assumption_needs_confirmation,"Check supplier price for 10-PGVO-YV15: latest list is 2.34, last paid was 2.25, assumed ratio is 0.961538, expected next cost is 2.25.",product_db_preview|f_price_list_batch:clf_source_20260519T105542Z_8f9b91f4a9b2,Organic Shop 250ml Body Scrub Repairing Mango & Sugar,clf_source_20260519T105542Z_8f9b91f4a9b2,2026-05-19T10:55:35Z,discount_assumption_from_actual_paid,discount_assumption_needs_confirmation
2026-05-19T12:28:57Z,LL-NBBZ-I90A,,,BEM,,,,,,,,,needs_user_price_check,missing_all_cost_inputs,Add supplier cost evidence for LL-NBBZ-I90A: no usable list or purchase cost is available.,product_db_preview,Funko POP! Movies - Lord Of the Rings - Hobbit - Samwise Gamgee - Lord Of the Rings - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - Movies Fans,,,missing_cost,none
2026-05-19T12:28:57Z,HJ-6HB4-VVF2,,,BEM,,,,,,,,,needs_user_price_check,missing_all_cost_inputs,Add supplier cost evidence for HJ-6HB4-VVF2: no usable list or purchase cost is available.,product_db_preview,Pyramid International HARRY POTTER A5 Lined Wiro Notebook The Marauders Map - Official Merchandise,,,missing_cost,none
2026-05-19T12:28:57Z,R7-RF9Q-9AMN,,,BEM,,,,,,,,,needs_user_price_check,missing_all_cost_inputs,Add supplier cost evidence for R7-RF9Q-9AMN: no usable list or purchase cost is available.,product_db_preview,"Super Mario Bros. Mushroom Collectible Figure Light, Officially Licensed Nintendo Merchandise",,,missing_cost,none
2026-05-19T12:28:57Z,9I-QC5D-QDT2,,,BEM,,,,,,,,,needs_user_price_check,missing_all_cost_inputs,Add supplier cost evidence for 9I-QC5D-QDT2: no usable list or purchase cost is available.,product_db_preview,Funko Pop! Games: OverWatch2- Kiriko - Kuriko - Overwatch - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - Video Games Fans - Model Figure for Collectors,,,missing_cost,none
2026-05-19T12:28:57Z,26-E5TZ-WU0I,,AT-15052,Bliss Distribution,,,,,,,,,needs_user_price_check,missing_all_cost_inputs,Add supplier cost evidence for 26-E5TZ-WU0I: no usable list or purchase cost is available.,product_db_preview,Dragon Shield AT-15052 Standard Size Dual Matte Crypt (100 Sleeves),,,missing_cost,none
2026-05-19T12:28:57Z,1Q-OTO8-JG8E,,AT-11009,Bliss Distribution,,,,,4.32,,,4.32,needs_user_price_check,missing_current_price_list_cost|actual_paid_without_list_reference,Check supplier price for 1Q-OTO8-JG8E: no current collected price-list cost is available.,product_db_preview,Dragon Shield 11009 Matte Purple Standard Sleeves (100 Sleeves),,,last_purchase_price,actual_paid_without_list_reference
2026-05-19T12:28:57Z,27-VH0D-TKGK,,,CLF,,,,,,,,,needs_user_price_check,missing_all_cost_inputs,Add supplier cost evidence for 27-VH0D-TKGK: no usable list or purchase cost is available.,product_db_preview,Colgin Natural Pecan Liquid Smoke 118 ml,,,missing_cost,none
2026-05-19T12:28:57Z,2L-4Y1Q-E6OA,,674 05288,ABGee,,,,,6.2,,,6.2,needs_user_price_check,missing_current_price_list_cost|actual_paid_without_list_reference,Check supplier price for 2L-4Y1Q-E6OA: no current collected price-list cost is available.,product_db_preview,Ben & Holly Talking Plush Assorted,,,last_purchase_price,actual_paid_without_list_reference
2026-05-19T12:28:57Z,ON-XPCR-TAZW,,UGD011337,Bliss Distribution,,,,,2.62,,,2.62,needs_user_price_check,missing_current_price_list_cost|actual_paid_without_list_reference,Check supplier price for ON-XPCR-TAZW: no current collected price-list cost is available.,product_db_preview,Ultimate Guard Katana Inner Sleeves Standard Size Transparent (100),,,last_purchase_price,actual_paid_without_list_reference
2026-05-19T12:28:57Z,BH-QYC3-K7VG,,UGD010696,Bliss Distribution,UGD010696,4056133006194,5.2,5.2,4.65,0.894231,10.5769,4.65,needs_user_price_check,discount_assumption_needs_confirmation,"Check supplier price for BH-QYC3-K7VG: latest list is 5.2, last paid was 4.65, assumed ratio is 0.894231, expected next cost is 4.65.",product_db_preview|f_price_list_batch:bliss_distribution_source_20260518T094415Z_193729ee1063,"Ultimate Guard UGD010696 Boulder Deck Case, 100 Plus, standard size, malachite",bliss_distribution_source_20260518T094415Z_193729ee1063,2026-05-18T09:43:37Z,discount_assumption_from_actual_paid,discount_assumption_needs_confirmation
2026-05-19T12:28:57Z,T0-4R2M-4BLV,,E-15612,Bliss Distribution,,,,,4.68,,,4.68,needs_user_price_check,missing_current_price_list_cost|actual_paid_without_list_reference,Check supplier price for T0-4R2M-4BLV: no current collected price-list cost is available.,product_db_preview,Ultra Pro - Eclipse Standard Matte Sleeves 100 Pack - Arctic White,,,last_purchase_price,actual_paid_without_list_reference
2026-05-19T12:28:57Z,46-MOBK-YBS1,,FK51965,Heo,,,,,6.84,,,6.84,needs_user_price_check,missing_current_price_list_cost|actual_paid_without_list_reference,Check supplier price for 46-MOBK-YBS1: no current collected price-list cost is available.,product_db_preview,Funko POP! Games: Sonic 30th-Silver Hedgehog the Hedgehog - Sonic the Hedgehog - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - Video Games Fans,,,last_purchase_price,actual_paid_without_list_reference
2026-05-19T12:28:57Z,NY-AI90-84GR,,UGD010896,Bliss Distribution,UGD010896,4056133011655,6.11,6.11,5.86,0.959083,4.0917,5.86,needs_user_price_check,discount_assumption_needs_confirmation,"Check supplier price for NY-AI90-84GR: latest list is 6.11, last paid was 5.86, assumed ratio is 0.959083, expected next cost is 5.86.",product_db_preview|f_price_list_batch:heo_source_20260430T174504Z_f7cc77113c30,Ultimate Guard UGD010896 Standard Size Katana Sleeves - Turquoise (100 Sleeves),heo_source_20260430T174504Z_f7cc77113c30,2026-04-30T12:41:16Z,discount_assumption_from_actual_paid,discount_assumption_needs_confirmation
2026-05-19T12:28:57Z,3Z-S01D-H4GA,,,Bliss Distribution,,,,,,,,,needs_user_price_check,missing_all_cost_inputs,Add supplier cost evidence for 3Z-S01D-H4GA: no usable list or purchase cost is available.,product_db_preview,"PLATINUM 9-Pocket Page For Standard Size Cards (11-Holes, Box 100),White",,,missing_cost,none
2026-05-19T12:28:57Z,2T-07RT-8IMX,B07W65T6VT,E-15219,Bliss Distribution,,,,,8.58,,,8.58,needs_user_price_check,missing_current_price_list_cost|actual_paid_without_list_reference,Check supplier price for 2T-07RT-8IMX: no current collected price-list cost is available.,product_db_preview,Ultra Pro - Eclipse 9-Pocket Pro-Binder - Jet Black,,,last_purchase_price,actual_paid_without_list_reference
2026-05-19T12:28:57Z,66-6EUM-PSH8,,,Bliss Distribution,,,,,,,,,needs_user_price_check,missing_all_cost_inputs,Add supplier cost evidence for 66-6EUM-PSH8: no usable list or purchase cost is available.,product_db_preview,Ultra Pro - Eclipse Standard Matte Sleeves 100 Pack - Smoke Grey,,,missing_cost,none
2026-05-19T12:28:57Z,CN-NR50-TSFE,B0024I0DBW,E-15146,Bliss Distribution,,,,,8.58,,,8.58,needs_user_price_check,missing_current_price_list_cost|actual_paid_without_list_reference,Check supplier price for CN-NR50-TSFE: no current collected price-list cost is available.,product_db_preview,Ultra Pro - Eclipse 9-Pocket Pro-Binder - Apple Red,,,last_purchase_price,actual_paid_without_list_reference
2026-05-19T12:28:57Z,0C-AOG2-B23Z,,,Bliss Distribution,,,,,,,,,needs_user_price_check,missing_all_cost_inputs,Add supplier cost evidence for 0C-AOG2-B23Z: no usable list or purchase cost is available.,product_db_preview,White Deck Box for Trading Cards,,,missing_cost,none
2026-05-19T12:28:57Z,XB-PLFM-VNLX,,UGD010069,Bliss Distribution,UGD010069,4260250072189,0.76,0.76,0.69,0.907895,9.2105,0.69,needs_user_price_check,discount_assumption_needs_confirmation,"Check supplier price for XB-PLFM-VNLX: latest list is 0.76, last paid was 0.69, assumed ratio is 0.907895, expected next cost is 0.69.",product_db_preview|f_price_list_batch:bliss_distribution_source_20260518T094415Z_193729ee1063,"Ultimate Guard UGD010069 Japanese Size Classic Soft Card Sleeves (Pack of 100, Transparent)",bliss_distribution_source_20260518T094415Z_193729ee1063,2026-05-18T09:43:37Z,discount_assumption_from_actual_paid,discount_assumption_needs_confirmation
2026-05-19T12:28:57Z,8G-7PJ0-25UD,,,Bliss Distribution,,,,,,,,,needs_user_price_check,missing_all_cost_inputs,Add supplier cost evidence for 8G-7PJ0-25UD: no usable list or purchase cost is available.,product_db_preview,Ultra Pro PLAYMAT and Artwork Tube C20 Card Game,,,missing_cost,none
2026-05-19T12:28:57Z,EH-ZRT0-U4YM,,E-84516,Bliss Distribution,,,,,3.17,,,3.17,needs_user_price_check,missing_current_price_list_cost|actual_paid_without_list_reference,Check supplier price for EH-ZRT0-U4YM: no current collected price-list cost is available.,product_db_preview,Ultra Pro - Standard Pro Matte Card Sleeves 100 Pack - Red,,,last_purchase_price,actual_paid_without_list_reference
