asin,fnsku,seller_sku,condition,inventory_status,total_quantity,in_stock_supply_quantity,inbound_working,inbound_shipped,inbound_receiving,available,unsellable,researching,reserved_transfers,reserved_processing,reserved_customer,last_updated_time,row_last_updated_age_hours,row_last_updated_status,row_last_updated_is_stale,row_stock_truth_adjustment,row_stock_truth_source,row_token_available_units,row_token_total_effective_units
B00GI299M4,X001Y4IJED,0O-KL3Z-ZTQ9,NewItem,,0,0,0,0,0,0,0,0,0,0,0,,,UNKNOWN,1,,SPAPI,0,0
1848450486,X001RIBPUL,0Q-F5R3-333E,NewItem,,0,0,0,0,0,0,0,0,0,0,0,2023-05-09T23:24:06Z,27053.76,STALE,1,,SPAPI,0,0
B07B4NQSYS,X001W8SLHL,0R-31MX-8MNY,NewItem,,0,0,0,0,0,0,0,0,0,0,0,2023-12-05T11:27:49Z,22025.70,STALE,1,,SPAPI,0,0
B09NQD4S5N,X002AS6LUL,0R-GRRH-W0Z9,NewItem,,6,0,0,0,0,0,0,0,0,0,0,2026-03-06T01:42:01Z,2307.47,STALE,1,TOKEN_FLOOR,SPAPI_TOKEN_FLOOR,0,6
B0B8T9L8RY,B0B8T9L8RY,0T-2B9X-7G65,NewItem,,0,0,0,0,0,0,0,0,0,0,0,,,UNKNOWN,1,,SPAPI,0,0
B0CBNNKLYJ,X00200DNO1,0T-LQK2-KFCY,NewItem,,0,0,0,0,0,0,0,0,0,0,0,2024-12-22T20:46:45Z,12824.39,STALE,1,,SPAPI,0,0
B00M9UFVGM,X0026FZGJP,0W-VJRK-9VCG,NewItem,,0,0,0,0,0,0,0,0,0,0,0,2025-06-12T16:29:13Z,8700.68,STALE,1,,SPAPI,0,0
B0BWFT5RGN,X00233QCMZ,0X-VJWI-4OT8,NewItem,,0,0,0,0,0,0,0,0,0,0,0,2025-09-18T04:41:25Z,6360.48,STALE,1,,SPAPI_STALE,0,0
B09NQBQW49,X002B1NOS9,0Z-Y60V-499R,NewItem,,3,0,0,0,0,0,0,0,0,0,0,2025-11-16T14:29:08Z,4934.68,STALE,1,TOKEN_FLOOR,SPAPI_TOKEN_FLOOR,0,3
B00CRGM45O,X0021LXCIB,10-JQEP-V8I7,NewItem,,0,0,0,0,0,0,0,0,0,0,0,2025-02-18T02:31:13Z,11450.65,STALE,1,,SPAPI,0,0
B002GZJUQ2,X0020N3Y4R,10-KNVB-4BRI,NewItem,,0,0,0,0,0,0,0,0,0,0,0,2024-08-31T22:39:31Z,15534.51,STALE,1,,SPAPI,0,0
B01H8QOUTA,X0021ADM2X,10-PGVO-YV15,NewItem,,0,0,0,0,0,0,0,0,0,0,0,2025-01-31T23:21:24Z,11861.81,STALE,1,,SPAPI,0,0
9189143078,X0029FBTF7,12-3VTE-5T3Z,NewItem,,0,0,0,0,0,0,0,0,0,0,0,2025-10-18T01:15:41Z,5643.90,STALE,1,,SPAPI_STALE,0,0
B084HZRR8G,X0022ZLQ8J,12-749B-9EB5,NewItem,,0,0,0,0,0,0,0,0,0,0,0,2025-02-02T17:50:14Z,11819.33,STALE,1,,SPAPI,0,0
B097F7QHFF,X0021VM1AL,16-5NE0-75DT,NewItem,,0,0,0,0,0,0,0,0,0,0,0,2024-09-09T18:15:21Z,15322.91,STALE,1,,SPAPI,0,0
B0B32365PH,X002EEATOF,18-WD7G-J8U4,NewItem,,0,0,0,0,0,0,0,0,0,0,0,,,UNKNOWN,1,,SPAPI_STALE,0,0
B002ZTVMDI,X001ZZTV07,1A-S381-J09C,NewItem,,0,0,0,0,0,0,0,0,0,0,0,2024-12-31T01:16:03Z,12627.90,STALE,1,,SPAPI,0,0
B00SH4QZIM,X0022WI7H5,1B-X7OV-DC22,NewItem,,0,0,0,0,0,0,0,0,0,0,0,,,UNKNOWN,1,,SPAPI,0,0
B00YPA854Y,X0022DYYHL,1C-WYGV-IW8O,NewItem,,0,0,0,0,0,0,0,0,0,0,0,2024-12-14T16:29:18Z,13020.68,STALE,1,,SPAPI,0,0
B00O3XUG5E,X0023C7XHT,1D-E3I8-TUK8,NewItem,,0,0,0,0,0,0,0,0,0,0,0,2025-01-09T22:57:18Z,12390.21,STALE,1,,SPAPI,0,0
B095ZY4PCG,X001Y4MCU5,1I-68NK-QBN0,NewItem,,0,0,0,0,0,0,0,0,0,0,0,,,UNKNOWN,1,,SPAPI,0,0
B09S5RXYKR,X001YNAZHX,1L-X5VM-8E2W,NewItem,,0,0,0,0,0,0,0,0,0,0,0,,,UNKNOWN,1,,SPAPI,0,0
B07QGGFKYK,X00233NLFV,1P-BRGG-P0N6,NewItem,,0,0,0,0,0,0,0,0,0,0,0,2024-08-28T23:11:25Z,15605.98,STALE,1,,SPAPI,0,0
B01G263L1K,X001YC2JNH,1Q-OTO8-JG8E,NewItem,,0,0,0,0,0,0,0,0,0,0,0,2025-03-27T07:34:52Z,10557.58,STALE,1,,SPAPI,0,0
B0032NGZII,X0025PRB1H,1S-ZFUI-RE1A,NewItem,,0,0,0,0,0,0,0,0,0,0,0,,,UNKNOWN,1,,SPAPI,0,0
B07V9CRX7Y,X002E19ZX9,1U-1W76-M840,NewItem,,1,0,0,0,0,0,0,0,0,0,0,2025-11-02T05:57:28Z,5279.21,STALE,1,TOKEN_FLOOR,SPAPI_TOKEN_FLOOR,0,1
B082BVCQMQ,X0029FIY2N,1U-YF3T-TR74,NewItem,,0,0,0,0,0,0,0,0,0,0,0,2025-06-07T12:06:19Z,8825.06,STALE,1,,SPAPI_STALE,0,0
B000FPU2SK,X0020N74IT,1V-9D9W-WOZP,NewItem,,0,0,0,0,0,0,0,0,0,0,0,,,UNKNOWN,1,,SPAPI,0,0
B09M3PQRBG,X00293HPTD,GY-FO04-RDYL,NewItem,,1,0,0,0,0,0,0,0,0,0,0,2026-03-10T17:39:00Z,2195.52,STALE,1,TOKEN_FLOOR,SPAPI_TOKEN_FLOOR,0,1
B09ST7SSLW,X00204SAZ9,SU-JM8R-2U82,NewItem,,18,2,0,0,0,2,0,0,0,0,0,2026-05-23T13:48:47Z,423.35,STALE,1,TOKEN_FLOOR,SPAPI_TOKEN_FLOOR,2,18
B01N273YMX,X0022WFLNX,RY-2DTP-16YZ,NewItem,,0,0,0,0,0,0,0,0,0,0,0,2025-06-18T22:19:14Z,8550.85,STALE,1,,SPAPI_STALE,0,0
B004J71OSC,X002HW0W1J,W3-8FN7-FSP0,NewItem,,2,1,0,0,0,1,0,0,0,1,0,2026-06-09T15:06:42Z,14.05,FRESH,0,,SPAPI,2,10
B07T9WVBZ2,X0028TKVZ3,8U-QPFH-3EKQ,NewItem,,9,7,0,0,0,7,0,0,0,1,1,2026-06-10T00:32:44Z,4.62,FRESH,0,,SPAPI,8,22
B07QPB3T1J,X001YBY3HD,3Z-45IC-N1H4,NewItem,,0,0,0,0,0,0,0,0,0,0,0,2025-09-01T02:17:34Z,6770.87,STALE,1,,SPAPI_STALE,0,0
B08FR6S7CD,X00238GF0T,K2-VE7K-V9TU,NewItem,,0,0,0,0,0,0,0,0,0,0,0,2025-05-07T15:30:40Z,9565.65,STALE,1,,SPAPI_STALE,0,0
B07QNL4BNM,X00230FFKN,94-7TOA-9ZBH,NewItem,,0,0,0,0,0,0,0,0,0,0,0,2025-06-29T19:38:16Z,8289.53,STALE,1,,SPAPI_STALE,0,0
B07NJCFPKF,X001YBUPST,NO-N6RP-Y30Q,NewItem,,0,0,0,0,0,0,0,0,0,0,0,2025-10-23T00:28:30Z,5524.69,STALE,1,,SPAPI_STALE,0,0
B00ANP09LM,X0028A4RTD,5M-QO6K-LNH0,NewItem,,3,0,0,0,0,0,0,0,0,0,0,2025-12-17T11:34:00Z,4193.60,STALE,1,TOKEN_FLOOR,SPAPI_TOKEN_FLOOR,0,3
B08P63MSS9,X0029FLX21,TJ-6LOP-OPEU,NewItem,,19,14,0,0,0,14,0,0,0,0,0,2026-05-28T00:37:43Z,316.54,STALE,1,TOKEN_FLOOR,SPAPI_TOKEN_FLOOR,14,19
B0D3JCG3YJ,X002C5LOZ9,BD-TLOK-BCEE,NewItem,,0,0,0,0,0,0,0,0,0,0,0,,,UNKNOWN,1,,SPAPI_STALE,0,0
B0C9J86XCZ,X0024E8Z4B,U1-M5BM-8F5W,NewItem,,29,19,0,0,0,19,0,0,0,0,0,2026-06-01T01:56:20Z,219.23,STALE,1,TOKEN_FLOOR,SPAPI_TOKEN_FLOOR,19,29
B09NM9TVYX,X002F5HCIJ,N7-A24N-WJA7,NewItem,,48,0,0,0,0,0,0,0,0,0,0,2025-12-03T23:46:42Z,4517.39,STALE,1,TOKEN_FLOOR,SPAPI_TOKEN_FLOOR,0,48
B0070Y60K8,X0029NGLQL,KI-CR51-18J3,NewItem,,6,1,0,0,0,1,0,0,0,0,0,2026-01-21T15:12:15Z,3349.96,STALE,1,TOKEN_FLOOR,SPAPI_TOKEN_FLOOR,1,6
B001OXH0X2,X00298OQXB,T8-6UWL-I3E1,NewItem,,69,0,0,0,0,0,0,0,0,0,0,2026-06-01T04:26:48Z,216.72,STALE,1,TOKEN_FLOOR,SPAPI_TOKEN_FLOOR,0,69
B093FQYQJH,X00293I5FB,NN-TSZ1-X2RD,NewItem,,45,43,0,0,0,43,0,2,0,2,0,2026-06-10T04:50:34Z,0.32,FRESH,0,,SPAPI,52,500
B007R2ICTK,X002057DE7,WX-L5UA-UB1Q,NewItem,,842,8,0,0,0,8,0,0,0,0,0,2026-05-29T17:00:39Z,276.16,STALE,1,TOKEN_FLOOR,SPAPI_TOKEN_FLOOR,8,842
9188805972,X0029FM75N,QT-C0ZN-T4R7,NewItem,,0,0,0,0,0,0,0,0,0,0,0,2025-06-20T02:38:24Z,8522.53,STALE,1,,SPAPI_STALE,0,0
B076RY52XG,X0023J2IUT,R0-ODDX-WROO,NewItem,,0,0,0,0,0,0,0,0,0,0,0,2025-07-22T16:14:06Z,7740.93,STALE,1,,SPAPI_STALE,0,0
B08XLT86GL,X0028LVWG3,IZ-8NZ9-VXR2,NewItem,,0,0,0,0,0,0,0,0,0,0,0,2025-05-28T16:26:14Z,9060.73,STALE,1,,SPAPI_STALE,0,0
B00B2KJ59Y,X0021LHUPR,UR-W905-8D8D,NewItem,,0,0,0,0,0,0,0,0,0,0,0,2025-06-17T13:59:24Z,8583.18,STALE,1,,SPAPI_STALE,0,0
B001ET78RY,X002AQ0W1H,D8-1A3E-I37F,NewItem,,9,0,0,0,0,0,0,0,0,0,0,2026-04-03T03:11:44Z,1633.97,STALE,1,TOKEN_FLOOR,SPAPI_TOKEN_FLOOR,0,9
B07C8QSSR2,X00208LBW9,4U-9ZL6-9G0Y,NewItem,,7,3,0,0,0,3,0,0,0,0,0,2026-02-26T04:54:50Z,2496.25,STALE,1,TOKEN_FLOOR,SPAPI_TOKEN_FLOOR,3,7
B004I2N5AS,X0025MV6P7,L3-ZQ8U-A7LQ,NewItem,,105,0,0,0,0,0,0,0,0,0,0,2026-04-28T13:45:17Z,1023.41,STALE,1,TOKEN_FLOOR,SPAPI_TOKEN_FLOOR,0,105
B002HY4YSQ,X0023ISNDV,JV-D1TI-6UF6,NewItem,,35,0,0,0,0,0,0,0,0,0,0,2026-01-06T13:34:44Z,3711.59,STALE,1,TOKEN_FLOOR,SPAPI_TOKEN_FLOOR,0,35
B076VTQGGL,X00299QYFX,XY-SHVR-W7PG,NewItem,,0,0,0,0,0,0,0,0,0,0,0,2025-09-21T00:52:04Z,6292.30,STALE,1,,SPAPI_STALE,0,0
B09SBGM9Q8,X00233QHBB,IO-9ZD2-3HDO,NewItem,,0,0,0,0,0,0,0,0,0,0,0,2025-06-26T10:05:09Z,8371.08,STALE,1,,SPAPI_STALE,0,0
B07PRCJQFX,X002BZECMH,L2-WL35-LG0D,NewItem,,0,0,0,0,0,0,0,0,0,0,0,,,UNKNOWN,1,,SPAPI_STALE,0,0
B07RXCFY28,X0022WI3MT,ZJ-9IR6-7M3A,NewItem,,0,0,0,0,0,0,0,0,0,0,0,2025-10-12T17:17:45Z,5771.87,STALE,1,,SPAPI_STALE,0,0
B00S9IXBVU,X00298HYM1,X7-MY4W-H2I4,NewItem,,24,8,0,0,0,8,0,0,0,0,0,2026-06-04T13:40:37Z,135.49,STALE,1,TOKEN_FLOOR,SPAPI_TOKEN_FLOOR,8,24
B06WW79DX5,X0024FWWTJ,6V-EEC1-2S9Z,NewItem,,129,114,0,0,0,114,0,0,0,11,4,2026-06-10T05:06:44Z,0.05,FRESH,0,,SPAPI,1869,5549
B0DN6KL887,X0028QJ5KN,3E-62Y1-WPYU,NewItem,,1,0,0,0,0,0,0,0,0,0,0,2026-01-04T18:23:49Z,3754.77,STALE,1,TOKEN_FLOOR,SPAPI_TOKEN_FLOOR,0,1
B004GFPFBO,X0029XG251,7M-48OU-23X3,NewItem,,15,1,0,0,0,1,0,0,0,0,0,2026-02-23T23:43:59Z,2549.43,STALE,1,TOKEN_FLOOR,SPAPI_TOKEN_FLOOR,1,15
B081QV8W38,X0021K8IIL,AI-IG9I-YB5A,NewItem,,0,0,0,0,0,0,0,0,0,0,0,2025-08-12T20:23:16Z,7232.78,STALE,1,,SPAPI_STALE,0,0
B002BX8ZFG,X002DZYN47,714810,NewItem,,12,9,0,0,0,9,0,0,0,0,0,2026-05-27T01:59:38Z,339.17,STALE,1,TOKEN_FLOOR,SPAPI_TOKEN_FLOOR,9,12
B09NQ9ZHDQ,X002AS9M5H,3Z-03PB-Q1A8,NewItem,,0,0,0,0,0,0,0,0,0,0,0,2025-08-28T22:05:49Z,6847.07,STALE,1,,SPAPI_STALE,0,0
B09MWLJFFX,X002FRSWYF,5Q-LUQ1-L14K,NewItem,,11,10,0,0,0,10,0,0,0,0,0,2026-06-03T15:25:41Z,157.74,STALE,1,TOKEN_FLOOR,SPAPI_TOKEN_FLOOR,9,11
B07BC1CMDK,X00218D0YF,A1-KSU1-GZMS,NewItem,,17,17,0,0,0,17,0,0,0,0,0,2026-05-30T23:19:00Z,245.85,STALE,1,,SPAPI_STALE,17,17
B07QXSDZJM,X001XSP71D,SC-LYFM-ORXK,NewItem,,16,0,0,0,0,0,0,0,0,0,0,2025-12-15T06:22:54Z,4246.78,STALE,1,TOKEN_FLOOR,SPAPI_TOKEN_FLOOR,0,16
B0001P15T4,X0025FSMDX,AF-KIHX-ANYY,NewItem,,98,11,0,0,0,11,0,0,0,0,0,2026-06-03T18:55:44Z,154.24,STALE,1,TOKEN_FLOOR,SPAPI_TOKEN_FLOOR,11,98
B00IQFGOGA,X002E1BUVT,M8-LMW1-Z8AS,NewItem,,0,0,0,0,0,0,0,0,0,0,0,,,UNKNOWN,1,,SPAPI_STALE,0,0
B00LDLBG3A,X00298L1EN,UR-UAT8-4JSI,NewItem,,2,1,0,0,0,1,0,0,0,0,0,2026-02-20T16:49:18Z,2628.34,STALE,1,TOKEN_FLOOR,SPAPI_TOKEN_FLOOR,1,2
B07W65T6VT,X001ZZT93L,2T-07RT-8IMX,NewItem,,12,0,0,0,0,0,0,0,0,0,0,2026-04-07T20:19:29Z,1520.84,STALE,1,TOKEN_FLOOR,SPAPI_TOKEN_FLOOR,0,12
B000FGECAI,X0021XOD1J,Z3-ORV9-K8XD,NewItem,,197,0,0,0,0,0,0,0,0,0,0,2026-01-19T16:12:01Z,3396.97,STALE,1,TOKEN_FLOOR,SPAPI_TOKEN_FLOOR,0,197
B006PFN3BW,X001XQKWXX,A2-T2AC-TW3L,NewItem,,0,0,0,0,0,0,0,0,0,0,0,2026-06-09T14:18:42Z,14.85,FRESH,0,,SPAPI,609,2379
B08MQ1N1CC,X0022ZHHTL,OP-0TPO-SB3I,NewItem,,0,0,0,0,0,0,0,0,0,0,0,2025-06-06T16:58:36Z,8844.19,STALE,1,,SPAPI_STALE,0,0
B0BVZVSHZP,X002FSB89F,WR-MNST-TKW6,NewItem,,0,0,0,0,0,0,0,0,0,0,0,,,UNKNOWN,1,,SPAPI_STALE,0,0
B071X4RKYL,X0028QJ5PN,YJ-WD59-WWA2,NewItem,,0,0,0,0,0,0,0,0,0,0,0,2025-10-02T17:02:38Z,6012.12,STALE,1,,SPAPI_STALE,0,0
B0913SVFD3,X0022WODPF,MY-KL21-NMV5,NewItem,,12,12,0,0,0,12,0,0,0,0,0,2026-06-10T03:28:33Z,1.69,FRESH,0,,SPAPI,8,19
B07772WMSM,X0023J1BEX,8T-HE78-3AQ3,NewItem,,0,0,0,0,0,0,0,0,0,0,0,2025-06-07T03:56:24Z,8833.23,STALE,1,,SPAPI_STALE,0,0
B003SYNGE2,X0022RISG5,D1-LSS7-93U8,NewItem,,0,0,0,0,0,0,0,0,0,0,0,2025-10-30T04:03:09Z,5353.11,STALE,1,,SPAPI_STALE,0,0
B00D1V5E5G,X002AFGH3Z,4B-HMJG-PHW4,NewItem,,0,0,0,0,0,0,0,0,0,0,0,,,UNKNOWN,1,,SPAPI_STALE,0,0
B00D1V5NWK,X00247V6UN,EA-FZ2V-D7II,NewItem,,1,0,0,0,0,0,0,0,0,0,0,2025-11-07T00:12:34Z,5164.96,STALE,1,TOKEN_FLOOR,SPAPI_TOKEN_FLOOR,0,1
B07BC5K5W5,X00230DSOX,BM-1O5E-RW8I,NewItem,,0,0,0,0,0,0,0,0,0,0,0,2025-06-17T11:14:03Z,8585.93,STALE,1,,SPAPI_STALE,0,0
B0BVZZDW1W,X002C5IQTB,HO-LSOY-8R05,NewItem,,3,0,0,0,0,0,0,0,0,0,0,2026-02-16T04:49:32Z,2736.34,STALE,1,TOKEN_FLOOR,SPAPI_TOKEN_FLOOR,0,3
B09NQ9YX9R,X002AS5TMR,XG-Z9LW-Z27Q,NewItem,,9,0,0,0,0,0,0,0,0,0,0,2025-11-20T22:18:31Z,4830.86,STALE,1,TOKEN_FLOOR,SPAPI_TOKEN_FLOOR,0,9
B00P82UZ6Y,X00298P34R,D8-VDSF-LENN,NewItem,,0,0,0,0,0,0,0,0,0,0,0,2025-10-05T18:08:59Z,5939.02,STALE,1,,SPAPI_STALE,0,0
B081Q9CFGC,X00204V32V,7H-7G2P-ONWJ,NewItem,,15,0,0,0,0,0,0,0,0,0,0,2025-12-14T00:53:13Z,4276.28,STALE,1,TOKEN_FLOOR,SPAPI_TOKEN_FLOOR,0,15
B08CHKHTWX,X002EPBTD9,R7-98IN-2PW8,NewItem,,86,1,0,0,0,1,0,0,0,0,0,2026-05-12T20:25:45Z,680.74,STALE,1,TOKEN_FLOOR,SPAPI_TOKEN_FLOOR,1,86
B0DBVJSGJC,X002LW7VAF,UA-6O9V-AOYC,NewItem,,0,0,0,0,0,0,0,0,0,0,0,,,UNKNOWN,1,,SPAPI_STALE,0,0
B0D59LGPWS,X0029NFJHX,86-0EBH-JQX6,NewItem,,0,0,0,0,0,0,0,0,0,0,0,2025-12-17T11:35:41Z,4193.57,STALE,1,,SPAPI_STALE,0,0
B0049A27FS,X00246LQUT,OZ-3NKR-VLYG,NewItem,,1,0,0,0,0,0,1,0,0,0,0,2025-11-10T04:27:24Z,5088.71,STALE,1,,SPAPI_STALE,0,0
B0CSVLW6QL,X002EE48U1,6E-U01F-GUCT,NewItem,,0,0,0,0,0,0,0,0,0,0,0,,,UNKNOWN,1,,SPAPI_STALE,0,0
B081SWQNFS,X002BQ4U37,88-PT9Z-DP6C,NewItem,,0,0,0,0,0,0,0,0,0,0,0,2025-09-03T00:56:25Z,6724.23,STALE,1,,SPAPI_STALE,0,0
B081TGZQVR,X002C8KG9V,MU-A667-UQ3J,NewItem,,0,0,0,0,0,0,0,0,0,0,0,,,UNKNOWN,1,,SPAPI_STALE,0,0
B0054SB72I,X002F63507,G8-L8EI-INMK,NewItem,,4,0,0,0,0,0,0,0,0,0,0,2025-11-03T21:01:55Z,5240.13,STALE,1,TOKEN_FLOOR,SPAPI_TOKEN_FLOOR,0,4
B08563KQKG,X0020G5YY7,WF-JLK1-5PKN,NewItem,,0,0,0,0,0,0,0,0,0,0,0,2025-08-22T16:50:10Z,6996.33,STALE,1,,SPAPI_STALE,0,0
B001KYTW0O,X002DZYLKN,714776,NewItem,,20,7,0,0,0,7,0,0,0,0,0,2026-06-06T15:23:15Z,85.78,STALE,1,TOKEN_FLOOR,SPAPI_TOKEN_FLOOR,7,20
B07Y354HMP,X002F6T763,CY-5VNG-I5M8,NewItem,,2,0,0,0,0,0,0,0,0,0,0,2025-11-18T00:33:43Z,4900.60,STALE,1,TOKEN_FLOOR,SPAPI_TOKEN_FLOOR,0,2
B008HSBYS4,X002AOD17L,IR-BP1X-M8DG,NewItem,,0,0,0,0,0,0,0,0,0,0,0,2025-07-02T18:15:02Z,8218.92,STALE,1,,SPAPI_STALE,0,0
B004R1ZS64,X00298O38T,SE-IQQJ-EOU3,NewItem,,1,0,0,0,0,0,0,0,0,0,0,2025-11-13T04:15:41Z,5016.90,STALE,1,TOKEN_FLOOR,SPAPI_TOKEN_FLOOR,0,1
B07BC5J1WW,X00230D7ML,OI-0483-CBVX,NewItem,,0,0,0,0,0,0,0,0,0,0,0,2025-08-15T16:55:51Z,7164.24,STALE,1,,SPAPI_STALE,0,0
B09NQDQ8X7,X002ASB1M9,VO-A6AR-18YS,NewItem,,3,0,0,0,0,0,0,0,0,0,0,2026-03-05T04:01:59Z,2329.13,STALE,1,TOKEN_FLOOR,SPAPI_TOKEN_FLOOR,0,3
B078K3B7R6,X0021LM4CL,93-TB6X-UKTU,NewItem,,0,0,0,0,0,0,0,0,0,0,0,2025-08-01T05:41:23Z,7511.48,STALE,1,,SPAPI_STALE,0,0
B086ZD7MG6,X00293G0VR,XE-YPAI-HX9F,NewItem,,235,0,0,0,0,0,0,0,0,0,0,2026-05-15T09:40:56Z,619.48,STALE,1,TOKEN_FLOOR,SPAPI_TOKEN_FLOOR,0,235
B0CTD6Q6KY,X002AFI3HN,YC-3L3M-BV48,NewItem,,15,0,0,0,0,0,0,0,0,0,0,2026-03-22T01:42:15Z,1923.46,STALE,1,TOKEN_FLOOR,SPAPI_TOKEN_FLOOR,0,15
B0042SI594,X0029N6KO9,Q1-00D7-5IQF,NewItem,,1,0,0,0,0,0,0,0,0,0,1,2026-06-09T14:18:50Z,14.85,FRESH,0,,SPAPI,8,57
B0BLTGP2JX,X0025GT7VD,Y5-REMJ-CY7A,NewItem,,0,0,0,0,0,0,0,0,0,0,0,2025-09-11T17:09:05Z,6516.01,STALE,1,,SPAPI_STALE,0,0
B0BS1WDHP7,X002EE4P5J,ZV-RLOD-Q0JI,NewItem,,10,0,0,0,0,0,0,0,0,0,0,2025-11-30T18:13:40Z,4594.94,STALE,1,TOKEN_FLOOR,SPAPI_TOKEN_FLOOR,0,10
B0813VNJF8,X0025QUSNT,HL-B4VJ-L8FP,NewItem,,0,0,0,0,0,0,0,0,0,0,0,2025-08-15T10:12:50Z,7170.95,STALE,1,,SPAPI_STALE,0,0
B0CJ8TNZ67,X0025HM0ED,RB-82FL-T88J,NewItem,,11,11,0,0,0,11,0,0,0,0,0,2026-06-10T03:44:21Z,1.43,FRESH,0,,SPAPI,12,27
B000PSB13C,X00201ZDE3,6Q-9G2A-IKVV,NewItem,,61,0,0,0,0,0,0,0,0,0,0,2026-05-06T21:34:50Z,823.59,STALE,1,TOKEN_FLOOR,SPAPI_TOKEN_FLOOR,0,61
B083G9XHT9,X002AFFYJD,NX-0OE3-AD7U,NewItem,,0,0,0,0,0,0,0,0,0,0,0,,,UNKNOWN,1,,SPAPI_STALE,0,0
