Parameter/Date,13 January 2026,12 January 2026,11 January 2026,10 January 2026,9 January 2026,8 January 2026,7 January 2026,6 January 2026,5 January 2026,4 January 2026,3 January 2026,2 January 2026,1 January 2026,31 December 2025,30 December 2025,29 December 2025,28 December 2025,27 December 2025,26 December 2025,25 December 2025,24 December 2025,23 December 2025,22 December 2025,21 December 2025,20 December 2025,19 December 2025,18 December 2025,17 December 2025,16 December 2025,15 December 2025,14 December 2025,Total
    Ship Promotion,1.66,0,0,0.55,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42,0,0,0,0,3.46
    DigitalServicesFee,0.09,0.09,0.09,0.16,0.05,0,0.16,0.25,0,0,0.02,0,0,0.06,0.07,0.14,0,0,0.13,0,0.05,0.04,0.07,0,0,0.02,0.2,0.01,0.08,0,0.01,1.79
    ShippingTaxDiscount,0.33,0,0,0.11,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0.69
    Shipping tax,-0.33,0,0,-0.11,-0.17,0,0,0,0,0,0,0,0,-0.42,0,0,0,0,0,0,0,0,0,0,0,0,-0.08,-0.66,-0.42,0,0,-2.19
    Refunded shipping,-1.66,0,0,-0.55,-0.83,0,0,0,0,0,0,0,0,-2.07,0,0,0,0,0,0,0,0,0,0,0,0,-0.42,-2.85,-2.07,0,0,-10.45
    Refund commission,-0.88,-0.9,-0.8,-1.59,-0.58,0,-1.67,-2.53,0,0,-0.42,0,0,-0.16,-0.61,-1.35,0,0,-1.25,0,-0.46,-0.42,-0.68,0,0,-0.15,-1.95,-0.45,-0.41,-0.18,-0.11,-17.55
    Refunded amount,-32.03,-32.83,-27.99,-55.82,-19.37,0,-59.9,-84.55,0,0,-14.99,0,0,-5.99,-22.95,-46.95,0,0,-44.15,0,-23.63,-16.04,-25.43,0,0,-9.49,-65.63,-16.34,-15.75,-6.8,-7.01,-633.64
Amazon fees,-254.32,-152.59,-140.37,-206.27,-134.01,-249.27,-243.36,-192.22,-208.48,-162.83,-214.71,-227.73,-178.93,-154.17,-221.84,-252.89,-285.53,-265.66,-226.59,-108.75,-121.23,-115.81,-174.26,-223.66,-219.68,-163.27,-204.6,-166.92,-257.86,-295.87,-264.99,-6288.67
    FBA per unit fulfilment fee,-149.21,-85.11,-79.61,-110.94,-79.99,-85.72,-133.03,-112.17,-143.43,-95.04,-123.94,-143.16,-91.67,-95.75,-142.71,-157.34,-157.28,-142.65,-132.93,-65.22,-70.81,-73.31,-108.79,-129.58,-129.06,-93.86,-116.67,-123.37,-160.22,-184.08,-174.08,-3690.73
    Referral fee,-114.67,-69.37,-62.45,-98.65,-57.76,-57.35,-100.63,-68.82,-90.79,-65.47,-86.73,-84.87,-59.63,-55.26,-80.58,-117.76,-122.83,-118.34,-89.18,-41.45,-50.64,-43.91,-65.52,-85.56,-73.65,-66.31,-93.89,-61.5,-92.96,-100.94,-87.97,-2465.44
    Digital services fee,-5.32,-3,-2.75,-4.22,-2.72,-2.65,-3.8,-3.16,-4.02,-3.27,-4.04,-3.89,-2.63,-3.16,-4.53,-5.55,-5.42,-4.67,-4.45,-2.08,-2.45,-2.43,-3.55,-4.28,-4.12,-3.1,-3.58,-3.27,-4.59,-5.63,-5.24,-117.57
    FBA storage fee,0,0,0,0,0,-102.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-102.81
    Subscription ,0,0,0,0,0,0,0,0,0,0,0,0,-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-25
    Inbound transportation,0,0,0,-4.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.09,0,0,-7.73,0,0,0,-24.03
    FBA removal fee,-0.49,0,0,0,0,0,-1.97,-8.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.96,0,0,0,-20.46
    Long term storage fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.95,0,-8.95
    Compensated clawback,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.24,0,0,0,-1.66,-1.48,0,0,-7.38
    Hrr non apparel rollup,0,0,0,0,0,0,-5.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.64
    Digital services fee fba,-0.1,0,0,-0.06,-0.06,0,-0.05,-0.03,-0.04,0,0,-0.7,0,0,0,-0.08,0,0,-0.03,0,0,0,0,0,-0.16,0,-0.04,0,0,-0.06,-0.11,-1.52
    Inbound transportation program fee,0,0,0,-0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6,0,0,-0.39,0,0,0,-1.2
    FBA disposal fee,0,0,0,0,0,-0.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.74
    Warehouse damage,0,0,0,0,0,0,1.76,0,0,0,0,0,0,0,3.31,0,0,0,0,0,0,3.84,0.93,0,0,0,0,8.36,0,2.28,0,20.48
    Warehouse lost,2.4,0,0,0,4.3,0,0,0,0,0,0,1.39,0,0,0,20.97,0,0,0,0,0,0,0,0,0,0,0,0,1.39,0,2.41,32.86
    Reversal reimbursement,13.07,4.89,4.44,12.02,2.22,0,0,0,29.8,0.95,0,3.5,0,0,2.67,6.87,0,0,0,0,2.67,0,2.67,0,0,0,9.58,32.6,0,1.51,0,129.46
Cost of goods,-354.08,-211.9,-186.82,-306.87,-196.73,-149.59,-281.6,-179.96,-234.87,-177.44,-236.37,-266.5,-162.84,-139.03,-229.92,-388.72,-364.52,-353.16,-245.37,-113.04,-143.26,-129.62,-171.55,-203.92,-203.34,-176.43,-260.72,-195.33,-252.86,-313.42,-274.85,-7104.63
    Cost of goods sold,-349.85,-211.9,-186.82,-306.87,-188.03,-149.59,-279.05,-179.96,-234.87,-177.44,-236.37,-264.25,-162.84,-139.03,-224.57,-360.73,-364.52,-353.16,-245.37,-113.04,-143.26,-122.03,-169.83,-208.43,-203.34,-176.43,-260.72,-180.02,-252.8,-310.68,-271.96,-7027.76
    Disposal of sellable products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Lost/damaged by Amazon,-4.23,0,0,0,-8.7,0,-2.55,0,0,0,0,-2.25,0,0,-5.35,-27.99,0,0,0,0,0,-7.59,-1.72,4.51,0,0,0,-15.31,-0.06,-2.74,-2.89,-76.87
    Multi-channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Missing returns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAT,-138.63,-79.8,-73.38,-106.03,-74.7,-71.54,-116.22,-75.51,-122.28,-81.99,-108.05,-118.83,-78.65,-70.32,-100.72,-140.66,-148.52,-145.58,-104.17,-51.13,-58.74,-53.4,-77.07,-107.17,-94.19,-86,-111.97,-82.22,-107.66,-129.98,-113.02,-3028.12
Gross profit,83.83,30.2,43.04,33.77,28.87,-41.99,55.79,10.77,163.27,60.41,83.99,99.9,42.99,52.09,47.89,57.87,89.3,102.33,46.42,29.72,26.99,19.08,38.66,108.26,38.26,89.99,77.79,53.21,80.51,80.41,80.77,1814.41
Indirect expenses,0,0,0,0,0,0,0,0,0,0,0,0,-223.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-223.62
    Software,0,0,0,0,0,0,0,0,0,0,0,0,-223.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-223.62
Net profit,83.83,30.2,43.04,33.77,28.87,-41.99,55.79,10.77,163.27,60.41,83.99,99.9,-180.63,52.09,47.89,57.87,89.3,102.33,46.42,29.72,26.99,19.08,38.66,108.26,38.26,89.99,77.79,53.21,80.51,80.41,80.77,1590.79
Estimated payout,551.6,321.9,303.24,446.67,300.3,179.14,453.61,261.94,520.42,319.84,425.55,485.23,284.48,261.44,378.53,587.25,602.34,601.07,395.96,193.89,228.99,202.1,287.28,419.35,335.79,352.42,450.48,329.04,441.03,523.81,448.13,11892.83
Real ACOS,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
% Refunds,2.74%,4.65%,4.88%,3.92%,5.13%,0%,2.99%,3.17%,0%,0%,2.9%,0%,0%,2.04%,4.35%,3.95%,0%,0%,3.08%,0%,16.22%,2.7%,5.88%,0%,0%,1.35%,3.49%,2.67%,1.14%,0.94%,1.1%,2.24%
Sellable returns,100%,0%,,,,,0%,100%,,,100%,,,,,0%,,,,,,,0%,100%,,0%,0%,100%,0%,100%,100%,58.82%
Margin,9.62%,5.93%,9.19%,4.78%,6.29%,-9.78%,7.4%,2.01%,22.31%,12.28%,12.73%,14%,-38.98%,12.2%,7.65%,6.5%,10.05%,11.78%,6.96%,9.69%,7.18%,5.67%,7.96%,16.83%,6.77%,17.13%,10.73%,10.32%,11.18%,9.66%,11.18%,8.41%
ROI,23.68%,14.25%,23.04%,11%,14.67%,-28.07%,19.81%,5.98%,69.52%,34.05%,35.53%,37.49%,-110.92%,37.47%,20.83%,14.89%,24.5%,28.98%,18.92%,26.29%,18.84%,14.72%,22.54%,53.09%,18.82%,51.01%,29.84%,27.24%,31.84%,25.66%,29.39%,22.39%
Active subscriptions (SnS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sessions,0,1978,2225,2045,1928,2065,2035,1998,2035,1992,1922,1818,1498,1367,1855,1965,1977,1804,1826,1283,1099,1549,2259,2671,2366,2272,2286,2275,2529,2530,2407,59859
    Browser sessions,0,797,830,745,695,809,807,832,836,831,707,712,577,532,691,773,710,645,626,419,408,597,777,937,787,803,812,859,890,949,899,22292
    Mobile app sessions,0,1180,1394,1301,1234,1256,1228,1166,1197,1160,1216,1107,921,836,1163,1192,1264,1159,1200,863,689,954,1480,1733,1577,1467,1474,1415,1637,1583,1508,37554
Unit session percentage,0%,2.17%,1.84%,2.49%,2.02%,2.28%,3.29%,3.15%,4.18%,2.51%,3.59%,4.62%,3.4%,3.58%,3.72%,3.87%,3.64%,3.66%,3.56%,2.34%,3.37%,2.39%,2.26%,2.58%,2.66%,3.26%,3.76%,3.3%,3.48%,4.19%,3.78%,3.29%
